day,predicted_price
1,100.497
2,100.497
3,100.337
4,100.953
5,102.464
6,102.826
7,102.75
8,103.696
9,104.615
10,104.74
11,105.055
12,104.873
13,104.417
14,104.249
15,102.971
16,101.188
17,99.8566
18,98.5568
19,98.0978
20,97.4032
21,96.2668
22,96.6087
23,96.7873
24,97.0198
25,96.3673
26,95.7234
27,95.4869
28,94.7317
29,94.5935
30,94.2295
31,93.9143
32,93.4398
33,94.3453
34,94.916
35,94.6344
36,94.9772
37,94.4541
38,94.2862
39,93.0323
40,91.5438
41,90.8691
42,91.0133
43,91.2863
44,91.4411
45,91.3987
46,90.5252
47,89.631
48,88.8993
49,89.1867
50,89.6324
51,88.8832
52,88.6873
53,88.3946
54,87.8692
55,87.9854
56,88.7236
57,89.7422
58,89.83
59,89.6777
60,89.7739
61,90.4044
62,90.4639
63,90.3599
64,89.6138
65,88.4565
66,88.2951
67,89.0552
68,89.4788
69,90.3298
70,91.0247
71,91.0041
72,91.1672
73,92.1481
74,92.6491
75,93.8169
76,92.8471
77,92.7085
78,92.6406
79,92.392
80,92.2824
81,91.0148
82,90.1571
83,89.914
84,90.7109
85,90.8981
86,90.5357
87,90.0381
88,90.3227
89,90.7094
90,90.6264
91,90.8896
92,91.1012
93,91.7985
94,91.7634
95,91.52
96,91.1253
97,90.0125
98,89.5613
99,89.4945
100,89.4993
